DCID,Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,DebtConsolidationAmount,Tenor,CreditHistory,PropertyArea,FacilityStatus
DC000034,Male,No,3,Graduate,No,421000,93000,760000,36,1,Semiurban,Yes
DC000035,Male,Yes,0,Graduate,No,422000,94000,765000,36,1,Semiurban,Yes
DC000036,Male,Yes,0,Graduate,No,423000,95000,770000,24,1,Semiurban,Yes
DC000037,Female,Yes,0,Graduate,No,424000,96000,775000,36,1,Semiurban,Yes
DC000038,Male,No,0,Graduate,No,425000,97000,780000,36,1,Semiurban,Yes
DC000039,Male,No,0,Not Graduate,Yes,25750,37500,135000,36,0,Rural,No
DC000040,Male,No,0,Graduate,No,426000,98000,785000,36,1,Semiurban,Yes
DC000041,Male,No,0,Graduate,No,427000,99000,790000,36,1,Semiurban,Yes
DC000042,Male,Yes,0,Graduate,No,100000,428000,325000,36,1,Semiurban,Yes
DC000043,Male,Yes,0,Graduate,No,101000,429000,350000,36,1,Semiurban,Yes
DC000044,Male,Yes,0,Not Graduate,Yes,32000,37450,140000,24,0,Rural,No
DC000045,Female,No,0,Graduate,No,102000,430000,375000,24,1,Semiurban,Yes
DC000046,Male,Yes,1,Graduate,No,103000,431000,400000,36,1,Semiurban,Yes
DC000047,Male,Yes,0,Graduate,No,104000,432000,425000,36,1,Semiurban,Yes
DC000048,Female,Yes,0,Graduate,No,105000,433000,450000,36,1,Semiurban,Yes
DC000049,Female,No,0,Graduate,No,106000,434000,475000,36,1,Semiurban,Yes
DC000050,Female,Yes,0,Not Graduate,Yes,25750,37390,146000,36,0,Rural,No
DC000051,Female,No,0,Graduate,No,107000,435000,500000,36,1,Semiurban,Yes
DC000052,Female,No,0,Graduate,No,108000,436000,525000,36,1,Semiurban,Yes
DC000053,Male,Yes,2,Graduate,No,437000,109000,550000,36,1,Semiurban,Yes
DC000054,Female,Yes,1,Graduate,No,438000,110000,575000,36,1,Semiurban,Yes
DC000055,Male,Yes,2,Graduate,No,439000,111000,600000,36,1,Semiurban,Yes
DC000056,Male,Yes,0,Graduate,No,440000,112000,625000,36,1,Semiurban,Yes
DC000057,Male,Yes,0,Graduate,No,441000,113000,650000,36,1,Rural,Yes
DC000058,Male,Yes,1,Graduate,No,442000,114000,675000,36,1,Urban,Yes
DC000059,Male,Yes,2,Not Graduate,Yes,26750,37300,155000,36,0,Rural,No
DC000060,Male,Yes,0,Graduate,No,443000,115000,700000,36,1,Urban,Yes
DC000061,Male,Yes,3,Graduate,No,444000,116000,725000,36,1,Urban,Yes
DC000062,Male,Yes,0,Not Graduate,Yes,32000,37270,158000,18,0,Rural,No
DC000063,Male,Yes,1,Graduate,No,445000,117000,750000,36,1,Urban,Yes
DC000064,Female,No,0,Graduate,No,446000,118000,775000,36,1,Urban,Yes
DC000065,Male,Yes,0,Graduate,No,447000,119000,800000,36,1,Urban,Yes
DC000066,Male,No,0,Not Graduate,Yes,32400,37230,162000,18,0,Rural,No
DC000067,Male,Yes,1,Graduate,No,448000,120000,525000,36,1,Urban,Yes
DC000068,Male,Yes,3,Not Graduate,Yes,34000,37210,164000,12,0,Rural,No
DC000069,Female,No,0,Graduate,No,449000,121000,530000,36,1,Urban,Yes
DC000070,Male,Yes,0,Graduate,No,450000,122000,535000,36,1,Urban,Yes
DC000071,Male,Yes,2,Not Graduate,Yes,36000,37180,167000,36,0,Rural,No
DC000072,Male,No,0,Graduate,No,451000,123000,540000,30,1,Urban,Yes
DC000073,Male,Yes,3,Not Graduate,Yes,18600,37160,169000,12,0,Rural,No
DC000074,Male,Yes,3,Graduate,No,452000,124000,545000,36,1,Urban,Yes
DC000075,Male,No,0,Graduate,No,453000,125000,550000,48,1,Urban,Yes
DC000076,Male,No,0,Graduate,No,454000,126000,555000,36,1,Urban,Yes
DC000077,Male,Yes,1,Graduate,No,455000,127000,560000,36,1,Urban,Yes
DC000078,Male,Yes,3,Graduate,No,456000,128000,565000,30,1,Urban,Yes
DC000079,Male,Yes,3,Not Graduate,Yes,49000,37100,175000,36,0,Rural,No
DC000080,Female,No,0,Graduate,No,457000,129000,570000,36,1,Urban,Yes
DC000081,Male,Yes,1,Graduate,No,458000,130000,575000,36,1,Urban,Yes
DC000082,Female,Yes,2,Graduate,Yes,277450,113252,1950000,36,1,Urban,Yes
DC000083,Male,Yes,0,Graduate,No,459000,131000,580000,36,1,Urban,Yes
DC000084,Male,Yes,1,Graduate,No,460000,132000,585000,24,1,Urban,Yes
DC000085,Male,No,0,Graduate,No,461000,133000,590000,36,1,Urban,Yes
DC000086,Male,Yes,2,Not Graduate,Yes,51000,37030,182000,36,0,Rural,No
DC000087,Male,Yes,0,Graduate,No,462000,134000,595000,36,1,Urban,Yes
DC000088,Male,No,0,Graduate,No,463000,135000,600000,36,1,Urban,Yes
DC000089,Male,Yes,0,Graduate,No,464000,136000,605000,36,1,Semiurban,Yes
DC000090,Male,Yes,0,Graduate,No,137000,465000,375000,36,1,Semiurban,Yes
DC000091,Male,Yes,2,Graduate,No,138000,466000,389000,18,1,Semiurban,Yes
DC000092,Male,Yes,2,Not Graduate,Yes,54000,36970,188000,36,0,Rural,No
DC000093,Male,No,0,Graduate,No,139000,467000,400000,36,1,Semiurban,Yes
DC000094,Male,No,0,Not Graduate,Yes,64500,36950,190000,12,0,Rural,No
DC000095,Male,No,0,Graduate,No,140000,468000,250000,36,1,Urban,Yes
DC000096,Female,Yes,0,Graduate,No,141000,469000,251000,36,1,Semiurban,Yes
DC000097,Male,Yes,0,Graduate,No,142000,470000,252000,36,1,Semiurban,Yes
DC000098,Male,Yes,0,Not Graduate,Yes,27000,36910,194000,18,0,Rural,No
DC000099,Male,Yes,0,Graduate,No,143000,471000,253000,36,1,Semiurban,Yes
DC000100,Male,Yes,2,Not Graduate,Yes,25420,36890,196000,18,0,Rural,No
DC000101,Male,No,0,Graduate,No,144000,472000,254000,36,1,Semiurban,Yes
DC000102,Male,Yes,1,Graduate,No,145000,473000,255000,36,1,Urban,Yes
DC000103,Male,Yes,0,Graduate,No,146000,474000,256000,36,1,Semiurban,Yes
DC000104,Male,Yes,1,Graduate,No,147000,475000,257000,36,1,Urban,Yes
DC000105,Male,Yes,2,Graduate,No,148000,476000,258000,36,1,Urban,Yes
DC000106,Male,No,0,Not Graduate,Yes,35620,36830,202000,36,0,Rural,No
DC000107,Male,Yes,2,Graduate,No,149000,74100,259000,36,1,Urban,Yes
DC000108,Male,Yes,3,Not Graduate,Yes,25415,36810,100000,48,0,Rural,No
DC000109,Male,No,0,Graduate,No,150000,74200,260000,36,1,Urban,Yes
DC000110,Female,Yes,0,Graduate,No,151000,74300,261000,36,1,Semiurban,Yes
DC000111,Male,Yes,0,Not Graduate,Yes,28950,36780,103000,12,0,Rural,No
DC000112,Female,No,1,Graduate,No,152000,74400,262000,36,1,Semiurban,Yes
DC000113,Male,No,0,Graduate,No,153000,74500,263000,36,1,Semiurban,Yes
DC000114,Male,Yes,1,Graduate,No,154000,74600,264000,18,1,Semiurban,Yes
DC000115,Female,Yes,0,Graduate,No,155000,74700,265000,36,1,Semiurban,Yes
DC000116,Male,Yes,1,Graduate,No,156000,74800,266000,36,1,Semiurban,Yes
DC000117,Male,Yes,0,Graduate,No,157000,74900,267000,36,1,Semiurban,Yes
DC000118,Female,No,0,Graduate,No,158000,75000,268000,36,1,Semiurban,Yes
DC000119,Male,Yes,1,Graduate,No,159000,75100,269000,36,1,Semiurban,Yes
DC000120,Female,No,0,Graduate,No,160000,75200,270000,36,1,Semiurban,Yes
DC000121,Female,No,0,Graduate,No,161000,75300,271000,36,1,Semiurban,Yes
DC000122,Male,Yes,2,Graduate,No,162000,75400,272000,36,1,Semiurban,Yes
DC000123,Male,Yes,0,Not Graduate,Yes,35640,36660,115000,36,0,Rural,No
DC000124,Female,No,0,Graduate,No,163000,75500,273000,36,1,Semiurban,Yes
DC000125,Male,No,0,Graduate,No,164000,75600,274000,36,1,Semiurban,Yes
DC000126,Male,Yes,1,Graduate,No,165000,75700,275000,18,1,Semiurban,Yes
DC000127,Male,Yes,0,Graduate,No,166000,75800,276000,36,1,Semiurban,Yes
DC000128,Male,No,0,Graduate,No,167000,75900,277000,48,1,Semiurban,Yes
DC000129,Male,No,0,Graduate,Yes,277550,112592,2000000,36,1,Urban,Yes
DC000130,Male,No,0,Graduate,No,168000,76000,278000,36,1,Semiurban,Yes
DC000131,Male,Yes,0,Graduate,No,169000,76100,279000,12,1,Semiurban,Yes
DC000132,Male,No,0,Graduate,No,170000,76200,280000,36,1,Semiurban,Yes
DC000133,Male,Yes,3,Graduate,No,171000,76300,281000,36,1,Semiurban,Yes
DC000134,Female,Yes,0,Graduate,No,172000,76400,282000,36,1,Rural,Yes
DC000135,Male,Yes,2,Graduate,No,173000,76500,283000,36,1,Urban,Yes
DC000136,Male,No,0,Graduate,No,174000,76600,284000,36,1,Urban,Yes
DC000137,Male,Yes,2,Not Graduate,Yes,25780,36520,129000,36,0,Rural,No
DC000138,Male,Yes,2,Graduate,No,175000,76700,285000,36,1,Urban,Yes
DC000139,Male,No,0,Graduate,No,176000,76800,286000,36,1,Urban,Yes
DC000140,Male,No,0,Graduate,No,177000,76900,287000,18,1,Urban,Yes
DC000141,Male,Yes,0,Graduate,No,178000,77000,288000,36,1,Urban,Yes
DC000142,Male,Yes,2,Graduate,No,179000,77100,289000,18,1,Urban,Yes
DC000143,Female,Yes,0,Graduate,No,180000,77200,290000,36,1,Urban,Yes
DC000144,Female,Yes,2,Graduate,No,181000,77300,291000,36,1,Urban,Yes
DC000145,Male,Yes,1,Graduate,No,182000,77400,292000,36,1,Urban,Yes
DC000146,Female,No,0,Graduate,No,183000,77500,293000,36,1,Urban,Yes
DC000147,Male,Yes,0,Graduate,No,184000,77600,294000,36,1,Urban,Yes
DC000148,Male,No,0,Graduate,No,185000,77700,295000,36,1,Urban,Yes
DC000149,Male,Yes,0,Graduate,No,186000,77800,296000,36,1,Urban,Yes
DC000150,Male,No,0,Graduate,No,187000,77900,297000,36,1,Urban,Yes
DC000151,Male,Yes,2,Not Graduate,Yes,59800,36380,143000,36,0,Rural,No
DC000152,Male,No,0,Graduate,No,188000,78000,298000,36,1,Urban,Yes
DC000153,Male,Yes,3,Graduate,No,189000,78100,299000,18,1,Urban,Yes
DC000154,Male,Yes,1,Graduate,No,190000,78200,300000,36,1,Urban,Yes
DC000155,Male,Yes,1,Graduate,No,191000,78300,301000,36,1,Urban,Yes
DC000156,Male,No,0,Graduate,No,192000,78400,302000,36,1,Urban,Yes
DC000157,Male,Yes,0,Graduate,No,193000,78500,303000,36,1,Urban,Yes
DC000158,Male,Yes,0,Not Graduate,Yes,57620,36310,150000,36,0,Rural,No
DC000159,Male,Yes,0,Graduate,No,194000,78600,304000,36,1,Urban,Yes
DC000160,Male,Yes,1,Graduate,No,195000,78700,305000,36,1,Urban,Yes
DC000161,Male,Yes,2,Graduate,No,196000,78800,306000,36,1,Urban,Yes
DC000162,Male,Yes,0,Graduate,No,197000,78900,307000,18,1,Urban,Yes
DC000163,Male,Yes,0,Graduate,No,198000,79000,308000,12,1,Urban,Yes
DC000164,Female,Yes,0,Graduate,No,199000,79100,309000,36,1,Urban,Yes
DC000165,Male,Yes,0,Graduate,No,200000,79200,310000,36,1,Urban,Yes
DC000166,Male,No,0,Graduate,No,201000,79300,311000,48,1,Urban,Yes
DC000167,Male,Yes,2,Graduate,No,202000,79400,312000,36,1,Urban,Yes
DC000168,Male,Yes,0,Not Graduate,Yes,56000,36210,160000,36,0,Rural,No
DC000169,Male,Yes,3,Not Graduate,Yes,51200,36200,161000,18,0,Rural,No
DC000170,Male,Yes,0,Graduate,No,203000,79500,313000,36,1,Urban,Yes
DC000171,Male,Yes,0,Not Graduate,Yes,50000,36180,163000,36,0,Rural,No
DC000172,Male,Yes,0,Graduate,No,204000,79600,314000,36,1,Urban,Yes
DC000173,Male,Yes,2,Graduate,No,205000,79700,315000,36,1,Urban,Yes
DC000174,Male,Yes,3,Graduate,No,206000,79800,316000,36,1,Urban,Yes
DC000175,Male,Yes,1,Graduate,Yes,277650,112612,1020000,36,1,Urban,Yes
DC000176,Male,No,0,Not Graduate,Yes,49630,36130,168000,48,0,Rural,No
DC000177,Male,Yes,1,Graduate,No,207000,79900,317000,36,1,Urban,Yes
DC000178,Male,No,0,Graduate,No,208000,80000,318000,36,1,Urban,Yes
DC000179,Male,Yes,0,Graduate,No,209000,80100,319000,18,1,Urban,Yes
DC000180,Male,Yes,1,Graduate,No,210000,80200,320000,36,1,Urban,Yes
DC000181,Female,Yes,0,Graduate,No,211000,80300,321000,36,1,Urban,Yes
DC000182,Male,Yes,0,Graduate,No,212000,80400,322000,36,1,Urban,Yes
DC000183,Male,Yes,1,Graduate,No,213000,80500,323000,30,1,Urban,Yes
DC000184,Male,Yes,0,Graduate,No,214000,80600,324000,36,1,Urban,Yes
DC000185,Male,Yes,0,Graduate,No,215000,80700,325000,18,1,Urban,Yes
DC000186,Male,No,0,Not Graduate,Yes,48560,36030,178000,36,0,Rural,No
DC000187,Male,No,0,Graduate,No,216000,80800,326000,36,1,Urban,Yes
DC000188,Male,Yes,0,Not Graduate,Yes,47520,36010,180000,36,0,Rural,No
DC000189,Male,No,0,Graduate,No,217000,80900,327000,36,1,Urban,Yes
DC000190,Male,No,0,Graduate,No,218000,81000,328000,36,1,Urban,Yes
DC000191,Male,Yes,1,Graduate,No,219000,81100,329000,36,1,Urban,Yes
DC000192,Male,No,0,Graduate,No,220000,81200,330000,36,1,Urban,Yes
DC000193,Female,No,0,Not Graduate,Yes,41200,35960,185000,12,0,Rural,No
DC000194,Female,Yes,0,Graduate,No,221000,81300,331000,36,1,Urban,Yes
DC000195,Male,No,0,Graduate,No,222000,81400,332000,36,1,Urban,Yes
DC000196,Male,Yes,1,Not Graduate,Yes,46300,35930,188000,36,0,Rural,No
DC000197,Male,No,2,Graduate,No,223000,81500,333000,36,1,Urban,Yes
DC000198,Male,Yes,3,Not Graduate,Yes,48000,35910,190000,18,0,Rural,No
DC000199,Male,Yes,1,Not Graduate,Yes,47000,35900,191000,36,0,Rural,No
DC000200,Male,Yes,2,Not Graduate,Yes,49500,35890,192000,36,0,Rural,No
DC000201,Female,No,0,Not Graduate,Yes,56000,35880,193000,36,0,Rural,No
DC000202,Female,No,0,Graduate,No,224000,81600,334000,36,1,Urban,Yes
DC000203,Male,No,0,Not Graduate,Yes,55230,35860,195000,36,0,Rural,No
DC000204,Male,No,0,Graduate,No,225000,81700,335000,36,1,Urban,Yes
DC000205,Male,No,0,Graduate,No,226000,81800,336000,36,1,Urban,Yes
DC000206,Female,No,0,Graduate,No,227000,81900,337000,36,1,Urban,Yes
DC000207,Male,Yes,3,Graduate,No,228000,82000,338000,36,1,Urban,Yes
DC000208,Male,Yes,1,Graduate,No,229000,82100,339000,36,1,Urban,Yes
DC000209,Male,Yes,3,Not Graduate,Yes,54220,35800,201000,36,0,Rural,No
DC000210,Male,Yes,0,Graduate,No,230000,82200,340000,36,1,Urban,Yes
DC000211,Male,Yes,3,Not Graduate,Yes,57000,35780,100000,36,0,Rural,No
DC000212,Male,Yes,0,Graduate,No,231000,82300,341000,36,1,Urban,Yes
DC000213,Male,Yes,0,Graduate,No,232000,82400,342000,36,1,Urban,Yes
DC000214,Male,Yes,2,Graduate,No,233000,82500,343000,36,1,Urban,Yes
DC000215,Female,Yes,2,Graduate,No,234000,82600,344000,36,1,Urban,Yes
DC000216,Male,Yes,0,Graduate,No,235000,82700,345000,36,1,Urban,Yes
DC000217,Male,Yes,2,Graduate,No,236000,82800,346000,36,1,Urban,Yes
DC000218,Male,No,0,Graduate,No,237000,82900,347000,36,1,Urban,Yes
DC000219,Male,Yes,0,Graduate,No,238000,83000,348000,12,1,Urban,Yes
DC000220,Male,Yes,0,Graduate,No,239000,83100,349000,36,1,Urban,Yes
DC000221,Male,Yes,0,Graduate,No,240000,83200,350000,36,1,Urban,Yes
DC000222,Male,Yes,2,Not Graduate,Yes,57620,35670,111000,36,0,Rural,No
DC000223,Male,Yes,2,Graduate,No,241000,83300,351000,36,1,Urban,Yes
DC000224,Male,No,0,Graduate,No,242000,83400,352000,36,1,Urban,Yes
DC000225,Male,Yes,1,Graduate,No,243000,83500,353000,36,1,Urban,Yes
DC000226,Male,Yes,0,Graduate,No,244000,83600,354000,18,1,Urban,Yes
DC000227,Male,No,0,Not Graduate,Yes,48560,35620,116000,12,0,Rural,No
DC000228,Female,No,0,Graduate,No,245000,83700,355000,36,1,Urban,Yes
DC000229,Male,Yes,1,Graduate,No,246000,83800,356000,36,1,Urban,Yes
DC000230,Male,Yes,1,Graduate,No,247000,83900,357000,36,1,Urban,Yes
DC000231,Male,Yes,0,Graduate,No,248000,84000,358000,36,1,Urban,Yes
DC000232,Female,No,0,Graduate,No,249000,84100,359000,36,1,Urban,Yes
DC000233,Female,No,1,Graduate,No,250000,84200,360000,36,1,Urban,Yes
DC000234,Male,Yes,1,Graduate,No,251000,84300,361000,36,1,Urban,Yes
DC000235,Male,Yes,2,Graduate,No,252000,84400,362000,36,1,Urban,Yes
DC000236,Male,Yes,1,Not Graduate,Yes,54220,35530,125000,18,0,Rural,No
DC000237,Male,No,0,Graduate,No,253000,84500,363000,12,1,Urban,Yes
DC000238,Male,Yes,2,Graduate,No,254000,84600,364000,36,1,Urban,Yes
DC000239,Male,Yes,0,Not Graduate,Yes,24500,35500,128000,36,0,Rural,No
DC000240,Male,No,0,Graduate,No,255000,84700,365000,18,1,Urban,Yes
DC000241,Male,Yes,2,Graduate,No,256000,84800,366000,36,1,Urban,Yes
DC000242,Male,Yes,1,Not Graduate,Yes,26500,35470,131000,18,0,Rural,No
DC000243,Male,Yes,1,Graduate,No,257000,84900,367000,48,1,Urban,Yes
DC000244,Male,Yes,0,Graduate,No,258000,85000,368000,36,1,Urban,Yes
DC000245,Male,Yes,0,Not Graduate,Yes,23000,35440,134000,36,0,Rural,No
DC000246,Female,No,2,Graduate,No,259000,85100,369000,36,1,Urban,Yes
DC000247,Male,No,0,Not Graduate,Yes,24100,35420,136000,36,0,Rural,No
DC000248,Male,Yes,1,Not Graduate,Yes,29800,35410,137000,18,0,Rural,No
DC000249,Male,No,0,Graduate,No,260000,85200,370000,36,1,Urban,Yes
DC000250,Female,No,3,Graduate,No,261000,85300,371000,36,1,Urban,Yes
DC000251,Male,No,0,Not Graduate,Yes,46000,35380,140000,36,0,Rural,No
DC000252,Male,Yes,3,Graduate,No,262000,85400,372000,36,1,Urban,Yes
DC000253,Male,Yes,0,Graduate,No,263000,85500,373000,36,1,Urban,Yes
DC000254,Male,Yes,3,Not Graduate,Yes,47000,35350,143000,36,0,Rural,No
DC000255,Male,Yes,1,Graduate,No,264000,85600,374000,36,1,Urban,Yes
DC000256,Male,No,0,Graduate,No,265000,85700,375000,36,1,Urban,Yes
DC000257,Female,No,1,Graduate,No,266000,85800,376000,12,1,Urban,Yes
DC000258,Female,No,0,Graduate,No,267000,85900,377000,36,1,Urban,Yes
DC000259,Male,No,0,Graduate,No,268000,86000,378000,36,1,Urban,Yes
DC000260,Male,No,0,Graduate,No,269000,86100,379000,36,1,Urban,Yes
DC000261,Male,Yes,2,Graduate,No,270000,86200,380000,36,1,Urban,Yes
DC000262,Male,Yes,3,Graduate,No,271000,86300,381000,36,1,Urban,Yes
DC000263,Female,No,0,Graduate,No,272000,86400,382000,36,1,Urban,Yes
DC000264,Female,No,1,Graduate,No,273000,86500,383000,36,1,Urban,Yes
DC000265,Female,No,0,Graduate,No,274000,86600,384000,36,1,Urban,Yes
DC000266,Male,Yes,0,Graduate,No,275000,86700,385000,36,1,Urban,Yes
DC000267,Male,No,0,Graduate,No,276000,86800,386000,36,1,Rural,Yes
DC000268,Male,Yes,0,Graduate,No,277000,86900,387000,36,1,Semiurban,Yes
DC000269,Male,Yes,2,Graduate,No,278000,87000,388000,12,1,Semiurban,Yes
DC000270,Male,Yes,1,Graduate,No,279000,87100,389000,36,1,Semiurban,Yes
DC000271,Male,Yes,0,Graduate,No,280000,87200,390000,36,1,Semiurban,Yes
DC000272,Male,Yes,0,Graduate,No,281000,87300,391000,36,1,Semiurban,Yes
DC000273,Male,Yes,0,Graduate,No,282000,87400,392000,36,1,Semiurban,Yes
DC000274,Female,Yes,0,Not Graduate,Yes,24510,35150,163000,36,0,Rural,No
DC000275,Male,No,1,Not Graduate,Yes,24520,35140,164000,36,0,Rural,No
DC000276,Male,Yes,0,Graduate,No,283000,87500,393000,36,1,Semiurban,Yes
DC000277,Male,Yes,2,Graduate,No,284000,87600,394000,18,1,Semiurban,Yes
DC000278,Female,No,0,Graduate,No,285000,87700,395000,36,1,Semiurban,Yes
DC000279,Male,Yes,0,Graduate,No,286000,87800,396000,36,1,Semiurban,Yes
DC000280,Male,No,0,Graduate,No,287000,87900,397000,36,1,Semiurban,Yes
DC000281,Female,No,0,Graduate,No,288000,88000,398000,30,1,Semiurban,Yes
DC000282,Male,Yes,0,Graduate,No,289000,88100,399000,36,1,Semiurban,Yes
DC000283,Female,No,0,Graduate,No,290000,88200,400000,36,1,Semiurban,Yes
DC000284,Male,No,0,Graduate,No,291000,88300,401000,36,1,Semiurban,Yes
DC000285,Male,Yes,0,Graduate,Yes,277750,112632,980000,36,1,Urban,Yes
DC000286,Male,Yes,2,Graduate,No,292000,88400,402000,36,1,Semiurban,Yes
DC000287,Male,Yes,2,Graduate,No,293000,88500,403000,36,1,Semiurban,Yes
DC000288,Female,No,1,Graduate,No,294000,88600,404000,48,1,Semiurban,Yes
DC000289,Male,Yes,0,Graduate,No,295000,88700,405000,36,1,Semiurban,Yes
DC000290,Male,Yes,3,Graduate,No,296000,88800,406000,36,1,Semiurban,Yes
DC000291,Male,Yes,1,Graduate,No,297000,88900,407000,36,1,Semiurban,Yes
DC000292,Female,Yes,1,Graduate,No,298000,89000,408000,36,1,Semiurban,Yes
DC000293,Female,No,0,Graduate,No,299000,89100,409000,48,1,Semiurban,Yes
DC000294,Male,Yes,1,Graduate,No,300000,89200,410000,36,1,Semiurban,Yes
DC000295,Male,Yes,0,Not Graduate,Yes,24720,34940,184000,36,0,Rural,No
DC000296,Male,Yes,0,Not Graduate,Yes,24730,34930,185000,36,0,Rural,No
DC000297,Female,No,0,Graduate,No,301000,89300,411000,36,1,Semiurban,Yes
DC000298,Male,Yes,1,Graduate,No,302000,89400,412000,36,1,Semiurban,Yes
DC000299,Male,No,0,Graduate,No,303000,89500,413000,36,1,Semiurban,Yes
DC000300,Male,No,0,Not Graduate,Yes,24770,34890,189000,36,0,Rural,No
DC000301,Female,No,0,Graduate,No,304000,89600,414000,36,1,Semiurban,Yes
DC000302,Female,No,0,Graduate,No,305000,89700,415000,36,1,Semiurban,Yes
DC000303,Male,No,0,Graduate,No,306000,89800,416000,36,1,Semiurban,Yes
DC000304,Male,Yes,2,Not Graduate,Yes,24810,34850,193000,36,0,Rural,No
DC000305,Female,No,0,Graduate,No,307000,89900,417000,36,1,Semiurban,Yes
DC000306,Male,No,0,Not Graduate,Yes,24830,34830,195000,36,0,Rural,No
DC000307,Female,No,0,Graduate,No,308000,90000,418000,36,1,Semiurban,Yes
DC000308,Male,Yes,2,Graduate,No,309000,90100,419000,12,1,Semiurban,Yes
DC000309,Male,Yes,1,Not Graduate,Yes,24860,34800,198000,18,0,Rural,No
DC000310,Male,Yes,2,Graduate,No,310000,90200,420000,36,1,Semiurban,Yes
DC000311,Male,Yes,0,Graduate,No,311000,90300,421000,36,1,Semiurban,Yes
DC000312,Female,No,1,Graduate,No,312000,90400,422000,36,1,Semiurban,Yes
DC000313,Male,Yes,1,Graduate,No,313000,90500,423000,36,1,Semiurban,Yes
DC000314,Male,Yes,0,Graduate,No,314000,90600,424000,36,1,Semiurban,Yes
DC000315,Male,Yes,3,Graduate,No,315000,90700,425000,36,1,Semiurban,Yes
DC000316,Male,Yes,2,Not Graduate,Yes,24930,34730,100000,36,0,Rural,No
DC000317,Female,No,0,Graduate,No,316000,90800,426000,36,1,Semiurban,Yes
DC000318,Male,Yes,3,Graduate,No,317000,90900,427000,36,1,Semiurban,Yes
DC000319,Male,Yes,1,Graduate,No,318000,91000,428000,36,1,Semiurban,Yes
DC000320,Male,No,0,Graduate,No,319000,91100,429000,36,1,Semiurban,Yes
DC000321,Male,Yes,0,Graduate,No,320000,91200,430000,36,1,Semiurban,Yes
DC000322,Female,Yes,0,Graduate,No,321000,91300,431000,36,1,Semiurban,Yes
DC000323,Female,No,0,Graduate,No,322000,91400,432000,36,1,Semiurban,Yes
DC000324,Male,No,1,Graduate,No,323000,91500,433000,36,1,Semiurban,Yes
DC000325,Male,No,0,Graduate,No,324000,91600,434000,36,1,Semiurban,Yes
DC000326,Male,No,2,Graduate,No,325000,91700,435000,36,1,Semiurban,Yes
